v1,v2,v3,y,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,km,1,2,3,4
0.298435918,0.481004879,0.220558376,3,4.166665972,0.833333194,4.166665972,0,0,0,0,0,0,0,0,1.999998,0,4.99999875,0,1.79999964,3.9999992,0,0,4,0,0,0,1
0.328286315,0.373601019,0.298111989,4,4.999999167,0,4.166665972,0.833333194,0,0,0,0,0,0,1.999998,0,0,4.99999875,0,2.39999952,1.59999968,0,4.99999875,2,0,0.66,0,0.34
0.065780671,0.475160761,0.459058036,4,4.999999167,0,4.999999167,0,0,0,0,0,1.999998,0,1.999998,0,4.99999875,0,3.999998667,2.9999994,3.19999936,0,3.749999063,1,0.66,0.34,0,0
0.185907746,0.362829782,0.45126195,4,4.999999167,0,4.999999167,0,0,0,0,0,1.999998,0,1.999998,0,1.249999688,3.749999063,3.999998667,2.9999994,3.19999936,0,3.749999063,2,0,1,0,0
0.285729274,0.298533914,0.415736119,2,4.999999167,0,2.499999583,1.666666389,0,0,0,0,0,0,0,0,0,4.99999875,0,1.79999964,3.9999992,0,4.99999875,2,0,1,0,0
0.357361612,0.503981203,0.138656318,3,4.166665972,0.833333194,4.166665972,0.833333194,0,0,0,0,0,0,0,1.999998,0,4.99999875,0,1.79999964,2.39999952,0,0,4,0,0,0,1
0.568032874,0.06896013,0.363006348,4,0,4.166665972,0,4.999999167,0,0,0,0,1.999998,0,0,1.999998,0,4.99999875,3.999998667,1.19999976,2.39999952,0,0,3,0,0,1,0
0.447017606,0.049922532,0.503059299,5,0.833333194,4.166665972,0.833333194,1.666666389,0,0,0,0,1.999998,0,1.999998,0,0,4.99999875,3.999998667,1.19999976,2.39999952,0,4.99999875,3,0,0.04,0.96,0
0.255414182,0.449961362,0.294623786,2,2.499999583,2.499999583,3.333332778,1.666666389,0,0,0,0,0,0,1.999998,0,4.99999875,0,0,2.9999994,1.59999968,0,4.99999875,4,0,0.52,0,0.48
0.353954239,0.126022181,0.520022978,4,0,2.499999583,3.333332778,0,0,0,0,0,1.999998,0,1.999998,0,0,4.99999875,3.999998667,1.79999964,3.19999936,0,3.749999063,3,0,0.4,0.6,0
0.274570498,0.260914808,0.464514156,4,2.499999583,1.666666389,4.166665972,0.833333194,0,0,0,0,1.999998,0,1.999998,0,1.249999688,3.749999063,3.999998667,2.39999952,3.19999936,0,3.749999063,2,0,1,0,0
0.233563379,0.464360419,0.302075296,0,0.833333194,4.166665972,4.999999167,0,0,0,0,0,0,0,0,0,4.99999875,0,0,0,0,0,4.99999875,2,0.04,0.52,0,0.44
0.267885394,0.36090126,0.371212727,4,4.999999167,0,4.166665972,0,0,0,0,0,0,0,1.999998,0,0,4.99999875,0,2.9999994,3.9999992,0,4.99999875,2,0,1,0,0
